"reef_name","global_label","year","Mean","SD","N","SE","surveyid","sub_region","optional","Bleaching","Cyclone","Density","Threat","Density.cat","Cyclone.cat","Bleaching.cat","Threat.cat","lng","lat"
"13040 Reef","NON_COLONIZABLE",2012,0.112391304347826,0.199402236175241,92,0.0207891202188754,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","OTH-SF",2012,0.0886956521739131,0.151078302900391,92,0.0157510019030061,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13040 Reef","OTHER",2012,0.0128260869565217,0.0280629624495153,92,0.00292576608593319,15018,"Far Northern",TRUE,0.100693561136723,1.32689249515533,0.00248412089422345,3.43497252464294,"Low","Low","Low","High",143.9427997,-13.27604472
"13050 Reef","ACR_BRA",2012,0.0327272727272727,0.0607902504144747,33,0.0105822242971117,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","ACR_TCD",2012,0.207272727272727,0.166118796484487,33,0.0289175707022012,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","BRA_nACR",2012,0.152121212121212,0.096038975673863,33,0.0167182397656924,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","CCA",2012,0.0696969696969697,0.0763415372063617,33,0.0132893558489381,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","EAM",2012,0.434545454545455,0.153970186016054,33,0.0268027690687374,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","FLP",2012,0.0193939393939394,0.0231758756495027,33,0.00403440210778617,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","GORG",2012,0,0,33,0,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","MACRO",2012,0.00121212121212121,0.00696310623822791,33,0.00121212121212121,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","MSE",2012,0.00424242424242424,0.0109059338866231,33,0.00189847940699116,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","MSEM",2012,0.00363636363636364,0.00929320377284585,33,0.00161773912909565,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","NON_COLONIZABLE",2012,0.0460606060606061,0.133555685809782,33,0.0232490607253225,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","OTH-SF",2012,0.0272727272727273,0.0429587540025842,33,0.00747815919954731,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13050 Reef","OTHER",2012,0.00181818181818182,0.00583874208121142,33,0.00101639453522718,15020,"Far Northern",TRUE,0.101401910185814,1.32689249515533,0.00248412089422345,4.06614351272583,"Low","Low","Low","High",143.9696942,-13.29230306
"13074 Reef","ACR_BRA",2012,0.00708860759493671,0.0175522588753156,79,0.0019747834094539,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","ACR_TCD",2012,0.0567088607594937,0.0770234982291426,79,0.00866582059446054,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","BRA_nACR",2012,0.0777215189873418,0.073098973423789,79,0.0082242770569218,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","CCA",2012,0.0544303797468354,0.0686826002569725,79,0.00772739625532584,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
"13074 Reef","EAM",2012,0.408607594936709,0.262857737565375,79,0.0295738060199592,15022,"Far Northern",TRUE,0.108490012586117,1.43961155414581,0.00248412089422345,2.44255232810974,"Low","Low","Low","Low",144.0654311,-13.47471972
